# Table 6. Functional model families used in surgical digital twins.
Model family,Governing formulation,Representative open tools,Typical imaging inputs,Key unmeasurable parameters and their calibration,Validation modality,Exemplar studies
Solid biomechanics,Conservation of momentum with hyperelastic/viscoelastic/biphasic constitutive laws; finite element method,"FEBio , OpenSim ","CT (bone), MRI (soft tissue), elastography","Tissue stiffness/strength → inverse problems, elastography, literature priors",Cadaver/phantom loading; in vivo tracking,Mandibular impact twin ; trauma fixation twins 
Hemodynamics,Incompressible Navier–Stokes; rigid or FSI-coupled walls,SimVascular ,"CTA, MRA, 4D flow MRI, echo","Outlet boundary conditions, wall stiffness → flow/pressure assimilation",4D flow MRI; catheter pressures,Fontan revision planning ; carotid twins 
Cardiac electrophysiology,Monodomain/bidomain reaction–diffusion with ionic models,openCARP ,Cine MRI/CT geometry; 12-lead ECG,"Conductivities, Purkinje network → ECG-based Bayesian/inverse calibration","ECG, invasive mapping",ECG-calibrated twins ; Purkinje inference 
Tumor growth and therapy response,Reaction–diffusion and mechanistic ODE/PDE models calibrated to imaging,TumorTwin ,Longitudinal MRI/CT,Proliferation/invasion rates → longitudinal inverse problems,Response on follow-up imaging,Mechanism-based oncology twins ; POD-accelerated calibration 
